Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
nd,>,<,7,7,1.0
eso,>,<,7,7,1.0
>,<,vale,7,1565,0.0044728434504792336
jajajajaj,>,<,7,7,1.0
<,jajajajaj,>,7,7,1.0
>,<,jajajajaj,7,1565,0.0044728434504792336
>,<,bueno,7,1565,0.0044728434504792336
<,de,q,7,23,0.30434782608695654
>,<,ojala,7,1565,0.0044728434504792336
<,aaaa,>,6,8,0.75
se,>,<,6,6,1.0
<,va,>,6,8,0.75
no,se,>,6,16,0.375
bn,>,<,6,6,1.0
neni,>,<,6,6,1.0
vez,>,<,6,6,1.0
claro,>,<,6,6,1.0
<,jajajja,>,6,6,1.0
aaaa,>,<,6,6,1.0
>,<,jajajja,6,1565,0.0038338658146964857
jajajja,>,<,6,6,1.0
>,<,ok,5,1565,0.003194888178913738
u.u,>,<,5,5,1.0
>,<,avr,5,1565,0.003194888178913738
<,es,que,5,39,0.1282051282051282
<,asi,q,5,9,0.5555555555555556
tarea,>,<,5,5,1.0
>,<,nada,5,1565,0.003194888178913738
<,claro,>,5,8,0.625
asi,>,<,5,5,1.0
o,>,<,5,5,1.0
<,no,me,5,77,0.06493506493506493
>,<,mañana,5,1565,0.003194888178913738
>,<,en,5,1565,0.003194888178913738
vale,>,<,5,5,1.0
<,o,>,5,13,0.38461538461538464
<,y,tu,5,38,0.13157894736842105
>,<,hoy,5,1565,0.003194888178913738
>,<,solo,5,1565,0.003194888178913738
<,o,sea,5,13,0.38461538461538464
que,>,<,5,5,1.0
>,<,donde,5,1565,0.003194888178913738
vdd,>,<,5,5,1.0
<,que,>,5,18,0.2777777777777778
tmb,>,<,5,5,1.0
<,de,hecho,5,23,0.21739130434782608
tal,vez,>,5,5,1.0
>,<,nomas,5,1565,0.003194888178913738
eso,si,>,5,5,1.0
>,<,hay,5,1565,0.003194888178913738
<,eso,si,5,9,0.5555555555555556
>,<,jajaj,5,1565,0.003194888178913738
<,jajaj,>,5,5,1.0
>,<,mmm,5,1565,0.003194888178913738
>,<,ooo,4,1565,0.0025559105431309905
jaja,>,<,4,4,1.0
<,hay,q,4,5,0.8
sabe,>,<,4,4,1.0
>,<,un,4,1565,0.0025559105431309905
<,ya,no,4,64,0.0625
ooo,>,<,4,4,1.0
pero,no,se,4,19,0.21052631578947367
<,ooo,>,4,4,1.0
<,bueno,>,4,7,0.5714285714285714
real,>,<,4,4,1.0
>,<,pues,4,1565,0.0025559105431309905
>,<,bien,4,1565,0.0025559105431309905
ya,estoy,en,4,5,0.8
<,creo,q,4,4,1.0
>,<,creo,4,1565,0.0025559105431309905
<,ojala,>,4,7,0.5714285714285714
>,<,aca,4,1565,0.0025559105431309905
omg,>,<,4,4,1.0
la,vida,de,4,7,0.5714285714285714
ojala,>,<,4,4,1.0
vda,>,<,4,4,1.0
<,ya,me,4,64,0.0625
>,<,espero,4,1565,0.0025559105431309905
yo,>,<,4,4,1.0
>,<,omggg,4,1565,0.0025559105431309905
es,>,<,4,4,1.0
>,<,lol,4,1565,0.0025559105431309905
<,nada,>,4,5,0.8
>,<,eiii,4,1565,0.0025559105431309905
>,<,tal,4,1565,0.0025559105431309905
<,tal,vez,4,4,1.0
tu,?,>,4,4,1.0
y,tu,?,4,7,0.5714285714285714
casa,>,<,4,4,1.0
>,<,ni,4,1565,0.0025559105431309905
eiii,>,<,4,4,1.0
<,eiii,>,4,4,1.0
<,ya,lo,4,64,0.0625
>,<,mi,4,1565,0.0025559105431309905
tal,?,>,4,4,1.0
soñe,nd,>,4,4,1.0
nose,>,<,4,4,1.0
>,<,perdon,4,1565,0.0025559105431309905
<,nose,>,4,4,1.0
>,<,tengo,4,1565,0.0025559105431309905
>,<,nose,4,1565,0.0025559105431309905
>,<,tienes,4,1565,0.0025559105431309905
pq,>,<,4,4,1.0
<,pq,>,4,17,0.23529411764705882
<,pero,ya,4,57,0.07017543859649122
nooo,>,<,4,4,1.0
q,tal,?,4,7,0.5714285714285714
>,<,aun,4,1565,0.0025559105431309905
>,<,nooo,4,1565,0.0025559105431309905
no,soñe,nd,4,5,0.8
mal,>,<,4,4,1.0
>,<,con,4,1565,0.0025559105431309905
>,<,quien,4,1565,0.0025559105431309905
vi,>,<,4,4,1.0
>,<,para,4,1565,0.0025559105431309905
dios,>,<,4,4,1.0
impresion,>,<,3,3,1.0
no,se,si,3,16,0.1875
>,<,tu,3,1565,0.0019169329073482429
<,ya,estoy,3,64,0.046875
<,y,ya,3,38,0.07894736842105263
>,<,mimi,3,1565,0.0019169329073482429
>,<,go,3,1565,0.0019169329073482429
roblox,>,<,3,3,1.0
>,<,fuersa,3,1565,0.0019169329073482429
>,<,dame,3,1565,0.0019169329073482429
buena,>,<,3,3,1.0
>,<,cuales,3,1565,0.0019169329073482429
<,no,es,3,77,0.03896103896103896
ai,>,<,3,3,1.0
hora,>,<,3,3,1.0
<,y,luego,3,38,0.07894736842105263
vida,de,un,3,4,0.75
>,<,estan,3,1565,0.0019169329073482429
perdon,>,<,3,3,1.0
<,buenos,dias,3,3,1.0
nooombre,>,<,3,3,1.0
<,nooombre,>,3,3,1.0
>,<,buenos,3,1565,0.0019169329073482429
de,la,impresion,3,7,0.42857142857142855
>,<,nooombre,3,1565,0.0019169329073482429
caro,>,<,3,3,1.0
la,impresion,>,3,3,1.0
>,<,:0,3,1565,0.0019169329073482429
<,:0,>,3,3,1.0
>,<,muy,3,1565,0.0019169329073482429
:0,>,<,3,3,1.0
de,un,otaku,3,4,0.75
>,<,voy,3,1565,0.0019169329073482429
ver,si,lo,3,3,1.0
>,<,mas,3,1565,0.0019169329073482429
>,<,sabes,3,1565,0.0019169329073482429
>,<,sim,3,1565,0.0019169329073482429
>,<,eii,3,1565,0.0019169329073482429
aca,>,<,3,3,1.0
>,<,hola,3,1565,0.0019169329073482429
escuela,>,<,3,3,1.0
:),>,<,3,3,1.0
seee,>,<,3,3,1.0
cierto,>,<,3,3,1.0
>,<,anda,3,1565,0.0019169329073482429
mejor,>,<,3,3,1.0
<,sim,>,3,3,1.0
muy,bn,>,3,3,1.0
sim,>,<,3,3,1.0
>,<,x222,3,1565,0.0019169329073482429
<,x222,>,3,3,1.0
x222,>,<,3,3,1.0
<,vale,vale,3,7,0.42857142857142855
dices,>,<,3,3,1.0
q,dices,>,3,3,1.0
veces,>,<,3,3,1.0
?,?,>,3,3,1.0
>,<,apoko,3,1565,0.0019169329073482429
examen,>,<,3,3,1.0
<,a,mi,3,29,0.10344827586206896
a,dios,>,3,3,1.0
ayer,>,<,3,3,1.0
<,jajajajaja,>,3,3,1.0
>,<,del,3,1565,0.0019169329073482429
>,<,ay,3,1565,0.0019169329073482429
examenes,>,<,3,3,1.0
mi,casa,>,3,4,0.75
en,mi,casa,3,6,0.5
tesis,>,<,3,3,1.0
gracias,a,dios,3,3,1.0
<,solo,q,3,5,0.6
<,es,>,3,39,0.07692307692307693
y,a,ti,3,3,1.0
a,ti,?,3,4,0.75
ti,?,>,3,3,1.0
>,<,ayuda,3,1565,0.0019169329073482429
jajjaja,>,<,3,3,1.0
>,<,ps,3,1565,0.0019169329073482429
>,<,mejor,3,1565,0.0019169329073482429
<,jajajaj,no,3,46,0.06521739130434782
grasias,chika,>,3,3,1.0
>,<,jajajajaja,3,1565,0.0019169329073482429
<,perdon,>,3,4,0.75
<,omggg,>,3,4,0.75
<,avr,>,3,5,0.6
es,q,>,3,14,0.21428571428571427
<,si,",",3,99,0.030303030303030304
>,<,uy,3,1565,0.0019169329073482429
>,<,deja,3,1565,0.0019169329073482429
jajajjaj,>,<,3,3,1.0
<,jajajjaj,>,3,3,1.0
