Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
hasta,el,último,1,3,0.3333333333333333
el,último,salón,1,2,0.5
último,salón,jajaj,1,1,1.0
tt,?,>,1,1,1.0
grupo,del,tt,1,1,1.0
a,sip,>,1,7,0.14285714285714285
el,grupo,del,1,2,0.5
algo,más,>,1,1,1.0
<,bueno,mejor,1,2,0.5
bueno,mejor,ya,1,1,1.0
mejor,ya,así,1,1,1.0
ya,así,jajajaj,1,2,0.5
así,jajajaj,ya,1,1,1.0
jajajaj,ya,lo,1,1,1.0
ya,lo,voy,1,3,0.3333333333333333
voy,a,subir,1,9,0.1111111111111111
a,subir,xd,1,1,1.0
subir,xd,>,1,1,1.0
oye,",",ernesto,1,19,0.05263157894736842
",",ernesto,ya,1,1,1.0
ernesto,ya,se,1,1,1.0
se,fue,?,1,2,0.5
<,afuera,de,1,1,1.0
afuera,de,mi,1,1,1.0
de,mi,salón,1,2,0.5
mi,salón,jajaja,1,1,1.0
salón,jajaja,>,1,1,1.0
oye,me,puedes,1,6,0.16666666666666666
me,puedes,hacer,1,2,0.5
puedes,hacer,admin,1,1,1.0
hacer,admin,también,1,1,1.0
admin,también,en,1,1,1.0
también,en,el,1,1,1.0
en,el,grupo,1,8,0.125
salón,jajaj,>,1,1,1.0
<,si,te,1,28,0.03571428571428571
del,lab,y,1,1,1.0
luego,luego,>,1,1,1.0
chi,de,nada,1,1,1.0
<,oye,mejor,1,36,0.027777777777777776
oye,mejor,si,1,1,1.0
mejor,si,me,1,2,0.5
si,me,voy,1,4,0.25
me,voy,a,1,4,0.25
voy,a,ir,1,9,0.1111111111111111
a,ir,también,1,6,0.16666666666666666
ir,también,de,1,1,1.0
también,de,una,1,1,1.0
de,una,vez,1,2,0.5
una,vez,>,1,1,1.0
<,mmmm,gracias,1,3,0.3333333333333333
mmmm,gracias,por,1,1,1.0
gracias,por,nada,1,1,1.0
por,nada,xd,1,1,1.0
<,jajajaja,no,1,8,0.125
jajajaja,no,es,1,1,1.0
es,cierto,está,1,2,0.5
cierto,está,bien,1,1,1.0
<,chi,gracias,1,4,0.25
<,abrí,chat,1,1,1.0
abrí,chat,en,1,1,1.0
chat,en,la,1,1,1.0
en,la,compu,1,7,0.14285714285714285
la,compu,del,1,1,1.0
compu,del,lab,1,1,1.0
<,chi,de,1,4,0.25
ya,luego,luego,1,1,1.0
si,te,vas,1,3,0.3333333333333333
clase,ya,luego,1,1,1.0
a,ir,temprano,1,6,0.16666666666666666
ir,temprano,?,1,1,1.0
temprano,?,>,1,1,1.0
<,jajaja,pues,1,20,0.05
jajaja,pues,>,1,1,1.0
<,si,sabes,1,28,0.03571428571428571
si,sabes,dónde,1,1,1.0
sabes,dónde,es,1,1,1.0
dónde,es,?,1,1,1.0
es,?,>,1,1,1.0
<,no,jajaja,1,15,0.06666666666666667
no,jajaja,es,1,2,0.5
jajaja,es,en,1,2,0.5
es,en,un,1,3,0.3333333333333333
en,un,lab,1,2,0.5
un,lab,de,1,1,1.0
lab,de,sistemas,1,1,1.0
de,sistemas,>,1,1,1.0
<,jajaja,mejor,1,20,0.05
jajaja,mejor,ahorita,1,1,1.0
mejor,ahorita,>,1,1,1.0
<,te,la,1,1,1.0
te,la,doy,1,3,0.3333333333333333
la,doy,acabando,1,1,1.0
doy,acabando,la,1,1,1.0
acabando,la,clase,1,1,1.0
la,clase,ya,1,2,0.5
la,tengo,",",1,2,0.5
no,la,tengo,1,1,1.0
jajaj,no,la,1,2,0.5
dar,?,>,1,1,1.0
a,vavavav,",",1,1,1.0
vavavav,",",gracias,1,1,1.0
<,vamos,a,1,1,1.0
a,ir,a,1,6,0.16666666666666666
ir,a,checar,1,1,1.0
a,checar,lo,1,1,1.0
checar,lo,del,1,1,1.0
lo,del,proyecto,1,7,0.14285714285714285
del,proyecto,con,1,1,1.0
proyecto,con,botella,1,1,1.0
con,botella,a,1,1,1.0
botella,a,otro,1,1,1.0
a,otro,salón,1,1,1.0
otro,salón,>,1,1,1.0
<,para,que,1,4,0.25
para,que,si,1,6,0.16666666666666666
si,quieres,pus,1,16,0.0625
quieres,pus,ya,1,1,1.0
pus,ya,te,1,1,1.0
ya,te,vayas,1,4,0.25
te,vayas,porque,1,2,0.5
vayas,porque,yo,1,1,1.0
porque,yo,creo,1,1,1.0
que,si,nos,1,15,0.06666666666666667
si,nos,tardamos,1,5,0.2
nos,tardamos,>,1,1,1.0
<,creo,>,1,5,0.2
<,a,vavavav,1,69,0.014492753623188406
de,dar,?,1,1,1.0
<,si,>,1,28,0.03571428571428571
debe,de,dar,1,1,1.0
<,y,que,1,12,0.08333333333333333
y,que,paso,1,2,0.5
<,entrego,examen,1,1,1.0
entrego,examen,?,1,1,1.0
examen,?,>,1,1,1.0
<,uy,",",1,1,1.0
uy,",",jaja,1,1,1.0
",",jaja,bueno,1,1,1.0
jaja,bueno,>,1,3,0.3333333333333333
<,hay,que,1,3,0.3333333333333333
hay,que,conseguirla,1,3,0.3333333333333333
que,conseguirla,con,1,1,1.0
conseguirla,con,alguien,1,1,1.0
con,alguien,xd,1,1,1.0
alguien,xd,>,1,1,1.0
<,demonios,jajaja,1,1,1.0
demonios,jajaja,mmm,1,1,1.0
jajaja,mmm,y,1,1,1.0
mmm,y,tienen,1,1,1.0
y,tienen,los,1,1,1.0
tienen,los,resultados,1,1,1.0
los,resultados,más,1,2,0.5
resultados,más,o,1,1,1.0
más,o,menos,1,1,1.0
o,menos,que,1,1,1.0
menos,que,debe,1,1,1.0
que,debe,de,1,1,1.0
<,que,>,1,6,0.16666666666666666
pasas,el,ejercicio,1,4,0.25
fuiste,hoy,?,1,1,1.0
si,iba,a,1,1,1.0
a,estar,cerrada,1,1,1.0
estar,cerrada,>,1,1,1.0
<,y,si,1,12,0.08333333333333333
y,si,le,1,3,0.3333333333333333
si,le,preguntas,1,4,0.25
le,preguntas,?,1,1,1.0
preguntas,?,>,1,1,1.0
<,si,no,1,28,0.03571428571428571
si,no,para,1,5,0.2
no,para,que,1,1,1.0
para,que,ya,1,6,0.16666666666666666
que,ya,ahorita,1,11,0.09090909090909091
ya,ahorita,te,1,2,0.5
ahorita,te,vayas,1,4,0.25
te,vayas,con,1,2,0.5
vayas,con,pao,1,1,1.0
con,pao,>,1,1,1.0
<,jajaj,no,1,6,0.16666666666666666
jajaj,no,ma,1,2,0.5
no,ma,>,1,4,0.25
<,si,pues,1,28,0.03571428571428571
si,pues,mejor,1,3,0.3333333333333333
pues,mejor,>,1,1,1.0
no,ma,",",1,4,0.25
ma,",",se,1,1,1.0
",",se,pasa,1,1,1.0
se,pasa,jajaja,1,1,1.0
iba,a,estar,1,3,0.3333333333333333
que,si,iba,1,15,0.06666666666666667
el,ejercicio,?,1,2,0.5
yo,pensé,que,1,1,1.0
<,está,buena,1,2,0.5
está,buena,la,1,1,1.0
buena,la,gelatina,1,1,1.0
la,gelatina,?,1,1,1.0
gelatina,?,>,1,1,1.0
<,jajaj,>,1,6,0.16666666666666666
<,no,manches,1,15,0.06666666666666667
no,manches,jajaja,1,1,1.0
manches,jajaja,pensé,1,1,1.0
si,lo,habías,1,8,0.125
lo,habías,visto,1,2,0.5
habías,visto,>,1,1,1.0
<,jajaja,está,1,20,0.05
jajaja,está,bien,1,1,1.0
<,anda,todo,1,1,1.0
anda,todo,solo,1,1,1.0
todo,solo,en,1,1,1.0
solo,en,la,1,1,1.0
en,la,escuela,1,7,0.14285714285714285
la,escuela,?,1,2,0.5
escuela,?,>,1,1,1.0
<,si,pus,1,28,0.03571428571428571
si,pus,está,1,1,1.0
pus,está,raro,1,1,1.0
está,raro,",",1,1,1.0
raro,",",yo,1,1,1.0
",",yo,pensé,1,1,1.0
hoy,?,>,1,1,1.0
si,fuiste,hoy,1,1,1.0
no,jajaj,no,1,2,0.5
es,mi,primer,1,1,1.0
primer,punto,de,1,1,1.0
punto,de,los,1,1,1.0
de,los,elementos,1,15,0.06666666666666667
los,elementos,subjetivos,1,1,1.0
elementos,subjetivos,jajaja,1,1,1.0
subjetivos,jajaja,por,1,1,1.0
jajaja,por,eso,1,2,0.5
por,eso,te,1,2,0.5
eso,te,digo,1,1,1.0
te,digo,",",1,3,0.3333333333333333
digo,",",porque,1,1,1.0
",",porque,lo,1,7,0.14285714285714285
de,los,consejos,1,15,0.06666666666666667
los,consejos,viene,1,2,0.5
consejos,viene,después,1,1,1.0
viene,después,y,1,1,1.0
después,y,pues,1,1,1.0
y,pues,se,1,5,0.2
pues,se,repetiría,1,1,1.0
se,repetiría,>,1,1,1.0
<,ajap,",",1,2,0.5
ajap,",",te,1,1,1.0
",",te,deje,1,4,0.25
te,deje,ahí,1,1,1.0
deje,ahí,marcado,1,1,1.0
ahí,marcado,lo,1,1,1.0
marcado,lo,que,1,1,1.0
mi,primer,punto,1,1,1.0
si,es,mi,1,6,0.16666666666666666
que,siento,que,1,1,1.0
audiencia,si,es,1,1,1.0
b,y,lo,1,1,1.0
y,lo,del,1,3,0.3333333333333333
lo,del,lugar,1,7,0.14285714285714285
del,lugar,donde,1,1,1.0
lugar,donde,vas,1,2,0.5
donde,vas,a,1,1,1.0
vas,a,exponer,1,5,0.2
a,exponer,y,1,1,1.0
exponer,y,usar,1,1,1.0
y,usar,vestimenta,1,1,1.0
usar,vestimenta,formal,1,1,1.0
vestimenta,formal,>,1,1,1.0
sé,",",si,1,2,0.5
",",si,mejor,1,14,0.07142857142857142
si,mejor,quieras,1,2,0.5
mejor,quieras,decir,1,1,1.0
quieras,decir,eso,1,1,1.0
decir,eso,en,1,1,1.0
eso,en,tu,1,1,1.0
en,tu,parte,1,1,1.0
tu,parte,>,1,1,1.0
<,pero,pero,1,11,0.09090909090909091
pero,pero,es,1,1,1.0
que,lo,de,1,7,0.14285714285714285
conocer,a,la,1,2,0.5
a,la,audiencia,1,2,0.5
la,audiencia,si,1,1,1.0
lo,que,siento,1,29,0.034482758620689655
siento,que,podrías,1,3,0.3333333333333333
<,si,fuiste,1,28,0.03571428571428571
",",pues,entonces,1,5,0.2
entonces,checa,igual,1,1,1.0
checa,igual,si,1,1,1.0
igual,si,le,1,1,1.0
si,le,quieres,1,4,0.25
le,quieres,cambiar,1,2,0.5
quieres,cambiar,algo,1,1,1.0
cambiar,algo,de,1,1,1.0
algo,de,ahí,1,5,0.2
de,ahí,lo,1,1,1.0
ahí,lo,que,1,1,1.0
lo,que,puse,1,29,0.034482758620689655
que,puse,o,1,2,0.5
puse,o,así,1,1,1.0
o,así,la,1,1,1.0
así,la,dejas,1,1,1.0
la,dejas,:3,1,1,1.0
dejas,:3,>,1,1,1.0
a,si,jajaja,1,5,0.2
si,jajaja,apenas,1,3,0.3333333333333333
jajaja,apenas,la,1,1,1.0
apenas,la,vi,1,1,1.0
la,vi,xd,1,1,1.0
vi,xd,>,1,1,1.0
<,noooo,>,1,2,0.5
<,",",porque,1,3,0.3333333333333333
",",porque,?,1,7,0.14285714285714285
porque,?,>,1,1,1.0
pues,entonces,checa,1,2,0.5
bien,",",pues,1,5,0.2
que,podrías,decir,1,1,1.0
vavava,está,bien,1,1,1.0
podrías,decir,en,1,1,1.0
decir,en,los,1,1,1.0
en,los,consejos,1,4,0.25
los,consejos,adicionales,1,2,0.5
consejos,adicionales,",",1,2,0.5
adicionales,",",por,1,1,1.0
en,el,modelo,1,8,0.125
quieres,decir,o,1,2,0.5
decir,o,si,1,1,1.0
o,si,no,1,3,0.3333333333333333
si,no,pues,1,5,0.2
no,pues,ya,1,3,0.3333333333333333
pues,ya,igual,1,4,0.25
ya,igual,lo,1,1,1.0
igual,lo,digo,1,1,1.0
lo,digo,yo,1,1,1.0
digo,yo,",",1,1,1.0
yo,",",pero,1,3,0.3333333333333333
",",pero,siento,1,19,0.05263157894736842
pero,siento,que,1,1,1.0
siento,que,si,1,3,0.3333333333333333
que,si,sería,1,15,0.06666666666666667
si,sería,más,1,2,0.5
sería,más,como,1,1,1.0
más,como,consejos,1,1,1.0
como,consejos,>,1,1,1.0
a,vavava,está,1,2,0.5
pasa,jajaja,>,1,1,1.0
<,jajajaja,fue,1,8,0.125
jajajaja,fue,al,1,1,1.0
en,qué,salón,1,3,0.3333333333333333
salón,están,?,1,1,1.0
foto,de,lo,1,2,0.5
lo,que,explico,1,29,0.034482758620689655
que,explico,de,1,1,1.0
explico,de,la,1,1,1.0
de,la,transformación,1,20,0.05
la,transformación,digital,1,1,1.0
transformación,digital,el,1,1,1.0
digital,el,maestro,1,1,1.0
el,maestro,?,1,1,1.0
maestro,?,>,1,1,1.0
<,porfa,jajaj,1,2,0.5
porfa,jajaj,>,1,1,1.0
a,jajaja,😅,1,10,0.1
jajaja,😅,>,1,1,1.0
<,yap,>,1,1,1.0
<,ando,afuera,1,1,1.0
ando,afuera,en,1,1,1.0
afuera,en,el,1,1,1.0
en,el,pasillo,1,8,0.125
el,pasillo,>,1,2,0.5
a,jajaja,voy,1,10,0.1
jajaja,voy,>,1,1,1.0
a,jajaja,sip,1,10,0.1
jajaja,sip,>,1,4,0.25
<,https://www.kaggle.com/datasets/ramjasmaurya/most-polluted-cities-and-countries-iqair-index/data?select=air+quality+index+%28by+cities%29+-+iqair.csv,>,1,1,1.0
<,lo,pusiste,1,2,0.5
qué,salón,están,1,1,1.0
voy,jajaj,>,1,1,1.0
pusiste,ahora,por,1,1,1.0
<,voy,jajaj,1,3,0.3333333333333333
iremos,?,>,1,1,1.0
oye,ya,salí,1,4,0.25
ya,salí,jajaja,1,2,0.5
salí,jajaja,ya,1,1,1.0
jajaja,ya,me,1,2,0.5
me,voy,entonces,1,4,0.25
voy,entonces,le,1,1,1.0
entonces,le,mandan,1,1,1.0
le,mandan,mensaje,1,1,1.0
mandan,mensaje,a,1,1,1.0
mensaje,a,celis,1,1,1.0
a,celis,no,1,2,0.5
celis,no,xd,1,1,1.0
no,xd,?,1,2,0.5
<,y,ya,1,12,0.08333333333333333
y,ya,alrratito,1,11,0.09090909090909091
ya,alrratito,checamos,1,1,1.0
alrratito,checamos,lo,1,1,1.0
checamos,lo,de,1,1,1.0
lo,de,como,1,24,0.041666666666666664
de,como,nos,1,1,1.0
como,nos,repartimos,1,1,1.0
nos,repartimos,lo,1,1,1.0
repartimos,lo,que,1,1,1.0
lo,que,dejó,1,29,0.034482758620689655
que,dejó,mario,1,2,0.5
dejó,mario,>,1,1,1.0
lo,pusiste,ahora,1,1,1.0
ahora,por,años,1,1,1.0
fue,al,revés,1,1,1.0
diga,algo,de,1,1,1.0
de,que,ya,1,3,0.3333333333333333
ya,no,se,1,4,0.25
no,se,está,1,11,0.09090909090909091
se,está,representando,1,1,1.0
está,representando,por,1,1,1.0
representando,por,meses,1,1,1.0
por,meses,?,1,1,1.0
meses,?,>,1,1,1.0
<,sip,por,1,37,0.02702702702702703
sip,por,el,1,1,1.0
por,el,clasroom,1,2,0.5
el,clasroom,>,1,1,1.0
<,hay,no,1,3,0.3333333333333333
hay,no,se,1,1,1.0
no,se,jajaja,1,11,0.09090909090909091
se,jajaja,deja,1,1,1.0
jajaja,deja,veo,1,1,1.0
deja,veo,si,1,2,0.5
veo,si,la,1,1,1.0
si,la,tengo,1,3,0.3333333333333333
la,tengo,😅,1,2,0.5
tengo,😅,>,1,1,1.0
pasas,el,dataset,1,4,0.25
el,dataset,que,1,1,1.0
dataset,que,ocupamos,1,1,1.0
que,ocupamos,?,1,1,1.0
ocupamos,?,>,1,1,1.0
algo,de,que,1,5,0.2
nos,diga,algo,1,1,1.0
por,años,?,1,1,1.0
que,nos,diga,1,4,0.25
años,?,>,1,1,1.0
<,jajajaja,si,1,8,0.125
jajajaja,si,",",1,1,1.0
que,lo,ví,1,7,0.14285714285714285
lo,ví,medio,1,1,1.0
ví,medio,raro,1,1,1.0
medio,raro,xd,1,2,0.5
raro,xd,>,1,1,1.0
sip,",",si,1,15,0.06666666666666667
si,se,puede,1,7,0.14285714285714285
se,puede,jajaja,1,1,1.0
puede,jajaja,",",1,1,1.0
jajaja,",",pero,1,4,0.25
",",pero,de,1,19,0.05263157894736842
pero,de,lo,1,3,0.3333333333333333
de,lo,demás,1,10,0.1
lo,demás,se,1,1,1.0
demás,se,ve,1,1,1.0
se,ve,bien,1,1,1.0
ve,bien,>,1,1,1.0
<,jajaja,entonces,1,20,0.05
jajaja,entonces,así,1,1,1.0
entonces,así,dejalo,1,1,1.0
así,dejalo,si,1,1,1.0
dejalo,si,quieres,1,1,1.0
quieres,",",crees,1,2,0.5
crees,que,nos,1,3,0.3333333333333333
si,iremos,?,1,1,1.0
y,si,iremos,1,3,0.3333333333333333
ooooo,y,si,1,1,1.0
9,jajaja,>,1,1,1.0
hay,ya,10,1,1,1.0
ya,10,>,1,1,1.0
<,jajajaj,y,1,5,0.2
jajajaj,y,menos,1,1,1.0
y,menos,con,1,2,0.5
menos,con,celis,1,1,1.0
con,celis,>,1,1,1.0
<,que,pasó,1,6,0.16666666666666666
que,pasó,?,1,1,1.0
pasó,?,>,1,1,1.0
<,jaja,>,1,5,0.2
jajajajaja,no,es,1,2,0.5
es,cierto,xd,1,2,0.5
cierto,xd,>,1,1,1.0
<,jajaja,pero,1,20,0.05
jajaja,pero,porqué,1,4,0.25
pero,porqué,?,1,1,1.0
porqué,?,>,1,1,1.0
no,ma,jajaja,1,4,0.25
ma,jajaja,perdón,1,1,1.0
jajaja,perdón,",",1,1,1.0
perdón,",",pero,1,1,1.0
",",pero,por,1,19,0.05263157894736842
pero,por,si,1,1,1.0
por,si,te,1,7,0.14285714285714285
si,te,vuelve,1,3,0.3333333333333333
te,vuelve,a,1,1,1.0
<,hay,ya,1,3,0.3333333333333333
<,9,jajaja,1,1,1.0
<,ooooo,y,1,2,0.5
cuánto,?,>,1,1,1.0
al,revés,",",1,1,1.0
revés,",",pero,1,1,1.0
",",pero,no,1,19,0.05263157894736842
pero,no,ma,1,7,0.14285714285714285
no,ma,pus,1,4,0.25
ma,pus,también,1,1,1.0
pus,también,lo,1,1,1.0
también,lo,mandaron,1,1,1.0
lo,mandaron,al,1,1,1.0
mandaron,al,grupo,1,1,1.0
al,grupo,por,1,2,0.5
grupo,por,eso,1,1,1.0
por,eso,más,1,2,0.5
eso,más,pensé,1,1,1.0
más,pensé,>,1,1,1.0
si,lo,viste,1,8,0.125
lo,viste,>,1,1,1.0
<,jajaj,pus,1,6,0.16666666666666666
jajaj,pus,a,1,1,1.0
pus,a,ver,1,1,1.0
ver,si,se,1,5,0.2
si,se,apura,1,7,0.14285714285714285
se,apura,a,1,1,1.0
apura,a,decir,1,1,1.0
a,decir,algo,1,3,0.3333333333333333
decir,algo,>,1,1,1.0
<,cuánto,?,1,1,1.0
vuelve,a,pasar,1,1,1.0
a,pasar,",",1,2,0.5
pasar,",",sip,1,1,1.0
",",sip,jaja,1,8,0.125
no,son,iguales,1,1,1.0
son,iguales,",",1,1,1.0
iguales,",",pero,1,1,1.0
",",pero,alomejor,1,19,0.05263157894736842
pero,alomejor,viene,1,1,1.0
alomejor,viene,algo,1,1,1.0
viene,algo,de,1,1,1.0
algo,de,lo,1,5,0.2
que,te,preguntan,1,7,0.14285714285714285
te,preguntan,>,1,1,1.0
<,donde,están,1,1,1.0
donde,están,?,1,1,1.0
no,jaja,es,1,6,0.16666666666666666
que,no,había,1,14,0.07142857142857142
no,había,ningún,1,1,1.0
había,ningún,link,1,1,1.0
ningún,link,en,1,1,1.0
link,en,la,1,1,1.0
en,la,página,1,7,0.14285714285714285
la,página,de,1,1,1.0
página,de,escom,1,1,1.0
de,escom,>,1,1,1.0
<,https://docs.google.com/forms/d/e/1faipqlsckhxmzxmolaye0gcatxz0yzupkbph95hryi9o60x9-ozzgvg/viewform,>,1,1,1.0
<,ya,te,1,9,0.1111111111111111
ya,te,fuiste,1,4,0.25
te,fuiste,xd,1,2,0.5
fuiste,xd,?,1,1,1.0
<,no,son,1,15,0.06666666666666667
jajaj,voy,>,1,1,1.0
a,jajaj,voy,1,1,1.0
más,de,lo,1,1,1.0
sip,jaja,si,1,5,0.2
jaja,si,va,1,2,0.5
si,va,toda,1,1,1.0
va,toda,la,1,1,1.0
toda,la,chimalhuacán,1,1,1.0
la,chimalhuacán,>,1,1,1.0
a,bueno,>,1,10,0.1
<,le,metí,1,2,0.5
le,metí,poquito,1,1,1.0
metí,poquito,nada,1,1,1.0
poquito,nada,más,1,1,1.0
nada,más,de,1,1,1.0
lo,que,decía,1,29,0.034482758620689655
<,a,jajaj,1,69,0.014492753623188406
que,decía,chat,1,2,0.5
decía,chat,",",1,1,1.0
chat,",",la,1,1,1.0
",",la,mayoría,1,2,0.5
la,mayoría,si,1,1,1.0
mayoría,si,lo,1,1,1.0
si,lo,escribí,1,8,0.125
lo,escribí,jaja,1,1,1.0
escribí,jaja,>,1,1,1.0
sip,",",mira,1,15,0.06666666666666667
",",mira,>,1,1,1.0
<,que,paso,1,6,0.16666666666666666
el,modelo,matemático,1,3,0.3333333333333333
ya,hiban,a,1,1,1.0
salían,en,el,1,1,1.0
enviado,por,un,1,1,1.0
pongo,si,quieres,1,1,1.0
ya,quedó,la,1,6,0.16666666666666666
quedó,la,conclusión,1,1,1.0
a,jajaja,quieres,1,10,0.1
jajaja,quieres,que,1,1,1.0
quieres,que,te,1,1,1.0
que,te,pase,1,7,0.14285714285714285
te,pase,lo,1,1,1.0
pase,lo,que,1,1,1.0
lo,que,dice,1,29,0.034482758620689655
que,dice,el,1,3,0.3333333333333333
dice,el,archivo,1,1,1.0
el,archivo,?,1,2,0.5
archivo,?,>,1,1,1.0
grupo,es,una,1,2,0.5
es,una,forma,1,2,0.5
una,forma,de,1,1,1.0
forma,de,comunicación,1,1,1.0
de,comunicación,en,1,1,1.0
comunicación,en,los,1,3,0.3333333333333333
en,los,sistemas,1,4,0.25
los,sistemas,distribuidos,1,1,1.0
sistemas,distribuidos,donde,1,1,1.0
distribuidos,donde,un,1,1,1.0
donde,un,mensaje,1,1,1.0
un,mensaje,es,1,1,1.0
mensaje,es,enviado,1,1,1.0
los,pongo,si,1,1,1.0
ahorita,los,pongo,1,2,0.5
jajajaja,ahorita,los,1,1,1.0
quieres,usa,algo,1,1,1.0
los,nombres,de,1,1,1.0
nombres,de,jisus,1,1,1.0
de,jisus,y,1,1,1.0
jisus,y,de,1,1,1.0
y,de,esme,1,2,0.5
de,esme,>,1,2,0.5
oye,",",para,1,19,0.05263157894736842
",",para,la,1,2,0.5
para,la,introducción,1,1,1.0
la,introducción,si,1,2,0.5
introducción,si,quieres,1,1,1.0
si,quieres,usa,1,16,0.0625
usa,algo,de,1,1,1.0
<,jajajaja,ahorita,1,8,0.125
algo,de,la,1,5,0.2
de,la,información,1,20,0.05
la,información,que,1,2,0.5
información,que,viene,1,1,1.0
que,viene,en,1,1,1.0
viene,en,el,1,1,1.0
en,el,tema,1,8,0.125
el,tema,3.5.4,1,4,0.25
tema,3.5.4,de,1,1,1.0
3.5.4,de,las,1,1,1.0
de,las,notas,1,10,0.1
las,notas,>,1,1,1.0
es,enviado,por,1,1,1.0
por,un,nodo,1,1,1.0
te,salían,en,1,1,1.0
un,nodo,a,1,1,1.0
modifique,un,poco,1,1,1.0
un,poco,el,1,1,1.0
poco,el,orden,1,1,1.0
el,orden,y,1,1,1.0
orden,y,algunas,1,1,1.0
y,algunas,palabras,1,1,1.0
algunas,palabras,porque,1,1,1.0
palabras,porque,parecía,1,1,1.0
porque,parecía,conclusión,1,1,1.0
parecía,conclusión,pero,1,1,1.0
conclusión,pero,>,1,1,1.0
si,quieres,entrégalo,1,16,0.0625
quieres,entrégalo,xd,1,1,1.0
entrégalo,xd,>,1,1,1.0
entonces,si,tenía,1,5,0.2
si,tenía,que,1,1,1.0
tenía,que,ser,1,2,0.5
que,ser,de,1,1,1.0
ser,de,3,1,1,1.0
de,3,clases,1,1,1.0
3,clases,?,1,2,0.5
clases,?,>,1,1,1.0
que,no,encuentro,1,14,0.07142857142857142
no,encuentro,nada,1,1,1.0
encuentro,nada,>,1,1,1.0
<,no,jajajaj,1,15,0.06666666666666667
no,jajajaj,xd,1,2,0.5
le,modifique,un,1,1,1.0
",",le,modifique,1,3,0.3333333333333333
chi,",",le,1,1,1.0
se,requiere,que,1,1,1.0
nodo,a,varios,1,1,1.0
a,varios,nodos,1,1,1.0
varios,nodos,simultáneamente,1,2,0.5
nodos,simultáneamente,.,1,1,1.0
simultáneamente,.,>,1,1,1.0
grupo,es,esencial,1,2,0.5
es,esencial,en,1,1,1.0
esencial,en,aplicaciones,1,1,1.0
en,aplicaciones,distribuidas,1,1,1.0
aplicaciones,distribuidas,donde,1,1,1.0
distribuidas,donde,se,1,1,1.0
donde,se,requiere,1,1,1.0
requiere,que,varios,1,1,1.0
<,chi,",",1,4,0.25
que,varios,nodos,1,1,1.0
varios,nodos,se,1,2,0.5
nodos,se,comuniquen,1,1,1.0
se,comuniquen,y,1,1,1.0
comuniquen,y,coordinen,1,1,1.0
y,coordinen,entre,1,1,1.0
coordinen,entre,sí,1,1,1.0
entre,sí,.,1,1,1.0
sí,., ,1,1,1.0
., ,>,1,1,1.0
<,multidifusión,:,1,1,1.0
multidifusión,:,>,1,1,1.0
poner,los,nombres,1,3,0.3333333333333333
falta,poner,los,1,1,1.0
también,falta,poner,1,1,1.0
a,también,falta,1,1,1.0
<,jaja,rayos,1,5,0.2
jaja,rayos,si,1,1,1.0
rayos,si,es,1,1,1.0
si,es,la,1,6,0.16666666666666666
es,la,otra,1,2,0.5
la,otra,versión,1,1,1.0
otra,versión,del,1,1,1.0
versión,del,examen,1,1,1.0
del,examen,bueno,1,1,1.0
examen,bueno,ya,1,1,1.0
bueno,ya,ni,1,1,1.0
ya,ni,modo,1,2,0.5
ni,modo,le,1,1,1.0
modo,le,pido,1,1,1.0
le,pido,mi,1,1,1.0
pido,mi,examen,1,1,1.0
mi,examen,el,1,1,1.0
examen,el,jueves,1,1,1.0
el,jueves,>,1,1,1.0
<,oie,:3,1,1,1.0
oie,:3,ahorita,1,1,1.0
:3,ahorita,me,1,1,1.0
ahorita,me,mandas,1,1,1.0
me,mandas,capturas,1,1,1.0
mandas,capturas,de,1,1,1.0
capturas,de,lo,1,1,1.0
lo,que,vallan,1,29,0.034482758620689655
estuvo,bien,>,1,1,1.0
ya,estuvo,bien,1,1,1.0
ya,ya,estuvo,1,3,0.3333333333333333
muy,bien,:3,1,1,1.0
jajajaja,rayos,",",1,1,1.0
rayos,",",cuánto,1,3,0.3333333333333333
",",cuánto,sacaste,1,1,1.0
cuánto,sacaste,?,1,1,1.0
sacaste,?,>,1,1,1.0
<,oooo,no,1,1,1.0
oooo,no,maaaa,1,1,1.0
no,maaaa,pero,1,1,1.0
maaaa,pero,te,1,1,1.0
pero,te,fue,1,1,1.0
te,fue,muy,1,2,0.5
fue,muy,bien,1,1,1.0
bien,:3,>,1,1,1.0
ooo,ya,ya,1,1,1.0
<,manda,foto,1,1,1.0
manda,foto,jaja,1,1,1.0
foto,jaja,a,1,1,1.0
jaja,a,ver,1,1,1.0
ver,si,me,1,5,0.2
si,me,acuerdo,1,4,0.25
me,acuerdo,de,1,1,1.0
acuerdo,de,mis,1,1,1.0
de,mis,respuestas,1,1,1.0
mis,respuestas,xd,1,1,1.0
respuestas,xd,>,1,1,1.0
<,ooo,ya,1,1,1.0
que,vallan,haciendo,1,1,1.0
vallan,haciendo,en,1,1,1.0
haciendo,en,cómputo,1,1,1.0
bien,",",lo,1,5,0.2
es,jajaj,xd,1,1,1.0
jajaj,xd,>,1,1,1.0
<,esos,serian,1,1,1.0
esos,serian,los,1,1,1.0
serian,los,del,1,1,1.0
los,del,paso,1,1,1.0
del,paso,2,1,1,1.0
paso,2,>,1,1,1.0
<,:o,>,1,1,1.0
<,jajaja,creo,1,20,0.05
