Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
ando,viendo,de,1,1,1.0
viendo,de,dónde,1,1,1.0
dije,de,tener,1,1,1.0
te,dije,de,1,1,1.0
de,dónde,voy,1,1,1.0
dónde,voy,a,1,1,1.0
voy,a,poner,1,9,0.1111111111111111
a,poner,los,1,2,0.5
que,te,dije,1,7,0.14285714285714285
lo,de,lo,1,24,0.041666666666666664
poniendo,lo,de,1,1,1.0
andaba,poniendo,lo,1,1,1.0
<,ajá,sip,1,2,0.5
entonces,andaba,poniendo,1,1,1.0
ajá,sip,justamente,1,1,1.0
<,entonces,andaba,1,4,0.25
la,interacción,>,1,1,1.0
y,ya,vemos,1,11,0.09090909090909091
ya,vemos,en,1,1,1.0
vemos,en,qué,1,1,1.0
en,qué,salieron,1,3,0.3333333333333333
ver,qué,de,1,2,0.5
parte,de,lo,1,1,1.0
una,parte,de,1,1,1.0
qué,de,eso,1,1,1.0
de,eso,podemos,1,2,0.5
es,una,parte,1,2,0.5
adicionales,es,una,1,1,1.0
que,ya,>,1,11,0.09090909090909091
consejos,adicionales,es,1,2,0.5
podemos,usar,>,1,1,1.0
de,consejos,adicionales,1,1,1.0
pusiste,de,consejos,1,1,1.0
vava,sip,creo,1,2,0.5
sip,creo,que,1,1,1.0
que,pusiste,de,1,1,1.0
creo,que,los,1,21,0.047619047619047616
que,los,voy,1,1,1.0
los,voy,a,1,1,1.0
voy,a,combinar,1,9,0.1111111111111111
a,combinar,jajaja,1,1,1.0
lo,que,pusiste,1,29,0.034482758620689655
ya,ver,qué,1,1,1.0
y,ya,ver,1,11,0.09090909090909091
lo,que,voy,1,29,0.034482758620689655
cómo,tal,sería,1,1,1.0
qué,salieron,parecidos,1,1,1.0
salieron,parecidos,con,1,1,1.0
parecidos,con,lo,1,1,1.0
<,lo,de,1,2,0.5
lo,que,dicen,1,29,0.034482758620689655
que,dicen,ahí,1,1,1.0
dicen,ahí,los,1,1,1.0
ahí,los,autores,1,1,1.0
<,cómo,tal,1,3,0.3333333333333333
tal,sería,como,1,1,1.0
ahí,y,ya,1,1,1.0
sería,como,que,1,2,0.5
que,tomar,los,1,2,0.5
tomar,los,temas,1,1,1.0
a,decir,>,1,3,0.3333333333333333
los,temas,que,1,1,1.0
temas,que,puse,1,1,1.0
que,puse,ahí,1,2,0.5
puse,ahí,y,1,1,1.0
voy,a,decir,1,9,0.1111111111111111
técnicas,de,análisis,1,1,1.0
podría,explicar,de,1,1,1.0
pues,creo,que,1,1,1.0
se,lo,voy,1,5,0.2
entonces,si,nos,1,5,0.2
si,podía,variar,1,2,0.5
podía,variar,dependiendo,1,1,1.0
a,pasar,>,1,2,0.5
variar,dependiendo,de,1,1,1.0
voy,a,pasar,1,9,0.1111111111111111
dependiendo,de,la,1,1,1.0
la,carrera,entonces,1,2,0.5
carrera,entonces,pues,1,1,1.0
entonces,pues,si,1,1,1.0
si,jaja,yo,1,6,0.16666666666666666
de,datos,no,1,5,0.2
y,se,lo,1,1,1.0
nahum,y,se,1,1,1.0
jaja,yo,digo,1,2,0.5
de,nahum,y,1,1,1.0
yo,digo,que,1,2,0.5
digo,que,sí,1,2,0.5
lo,de,nahum,1,24,0.041666666666666664
para,lo,de,1,1,1.0
vavav,",",entonces,1,2,0.5
",",entonces,ya,1,4,0.25
si,nos,quedamos,1,5,0.2
nos,quedamos,con,1,1,1.0
quedamos,con,el,1,1,1.0
con,el,ejemplo,1,4,0.25
ya,es,la,1,3,0.3333333333333333
de,hospital,verdad,1,1,1.0
es,la,única,1,2,0.5
explicarlo,pues,ya,1,1,1.0
única,que,se,1,1,1.0
que,se,me,1,4,0.25
se,me,ocurre,1,1,1.0
camas,de,hospital,1,1,1.0
me,ocurre,>,1,1,1.0
las,camas,de,1,1,1.0
mmmm,pues,solo,1,2,0.5
de,las,camas,1,10,0.1
pues,solo,habia,1,1,1.0
solo,habia,un,1,1,1.0
habia,un,autor,1,1,1.0
un,autor,que,1,1,1.0
autor,que,decía,1,1,1.0
ejemplo,de,las,1,1,1.0
que,decía,que,1,2,0.5
el,ejemplo,de,1,1,1.0
decía,que,si,1,1,1.0
entonces,ya,deja,1,2,0.5
ya,deja,me,1,1,1.0
frida,para,lo,1,1,1.0
<,jajaj,a,1,6,0.16666666666666666
de,rafa,?,1,1,1.0
a,ver,deja,1,10,0.1
ver,deja,veo,1,1,1.0
deja,veo,cómo,1,2,0.5
número,de,rafa,1,1,1.0
veo,cómo,lo,1,1,1.0
cómo,lo,pongo,1,2,0.5
lo,pongo,>,1,2,0.5
<,cómo,lo,1,3,0.3333333333333333
cómo,lo,ves,1,2,0.5
lo,ves,?,1,1,1.0
a,jajaja,xd,1,10,0.1
el,número,de,1,1,1.0
jajaja,xd,>,1,1,1.0
<,va,",",1,4,0.25
va,",",hasta,1,2,0.5
",",hasta,mañana,1,2,0.5
hasta,mañana,:3,1,1,1.0
mañana,:3,>,1,1,1.0
hola,",",oye,1,3,0.3333333333333333
",",oye,me,1,6,0.16666666666666666
jajaj,a,ver,1,1,1.0
ver,chécalo,>,1,1,1.0
deja,me,apuro,1,1,1.0
a,ver,chécalo,1,10,0.1
me,apuro,con,1,1,1.0
apuro,con,lo,1,1,1.0
con,lo,otro,1,6,0.16666666666666666
