Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
me,enseñas,2,81,0.024691358024691357
cayo,muy,2,2,1.0
cambie,>,2,2,1.0
lo,cambie,2,41,0.04878048780487805
para,mañana,2,11,0.18181818181818182
y,ps,2,57,0.03508771929824561
si,vi,2,162,0.012345679012345678
<,jajajajajaj,2,1566,0.001277139208173691
noo,>,2,2,1.0
<,noo,2,1566,0.001277139208173691
<,bn,2,1566,0.001277139208173691
bn,pero,2,25,0.08
que,le,2,38,0.05263157894736842
<,jajajajajajaja,2,1566,0.001277139208173691
asi,en,2,20,0.1
jajajajajaj,>,2,2,1.0
22,>,2,2,1.0
si,jajajaj,2,162,0.012345679012345678
te,perdono,2,40,0.05
go,go,2,5,0.4
perdono,>,2,2,1.0
ya,toy,2,96,0.020833333333333332
jajajj,>,2,2,1.0
<,jajajj,2,1566,0.001277139208173691
a,siii,2,81,0.024691358024691357
<,frey,2,1566,0.001277139208173691
haces,un,2,3,0.6666666666666666
