Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
creo,>,3,15,0.2
jajajajaja,>,3,3,1.0
si,se,3,162,0.018518518518518517
q,horror,2,164,0.012195121951219513
<,ah,2,1654,0.0012091898428053204
esta,muy,2,25,0.08
",",yo,2,60,0.03333333333333333
soñe,>,2,5,0.4
el,examen,2,43,0.046511627906976744
fuersa,bro,2,3,0.6666666666666666
mimi,bn,2,5,0.4
horror,>,2,2,1.0
<,orita,2,1654,0.0012091898428053204
ni,la,2,12,0.16666666666666666
chica,>,2,2,1.0
tal,>,2,13,0.15384615384615385
son,como,2,9,0.2222222222222222
me,recordaste,2,81,0.024691358024691357
x,el,2,14,0.14285714285714285
tengo,q,2,24,0.08333333333333333
kien,sabeee,2,6,0.3333333333333333
jajajaj,kien,2,51,0.0392156862745098
q,estudiar,2,164,0.012195121951219513
q,tengo,2,164,0.012195121951219513
he,probado,2,8,0.25
<,sobre,2,1654,0.0012091898428053204
eso,?,2,25,0.08
<,jajajajajj,2,1654,0.0012091898428053204
jajajajajj,>,2,2,1.0
mi,me,2,27,0.07407407407407407
ya,te,2,96,0.020833333333333332
miedo,>,2,4,0.5
boomer,>,2,3,0.6666666666666666
<,boomer,2,1654,0.0012091898428053204
estan,las,2,7,0.2857142857142857
acabe,>,2,2,1.0
<,naaa,2,1654,0.0012091898428053204
naaa,>,2,2,1.0
me,gusto,2,81,0.024691358024691357
muy,buena,2,13,0.15384615384615385
monton,>,2,3,0.6666666666666666
voy,>,2,7,0.2857142857142857
feo,>,2,4,0.5
yo,tengo,2,31,0.06451612903225806
cuanto,?,2,3,0.6666666666666666
<,cuando,2,1654,0.0012091898428053204
cuando,>,2,5,0.4
los,programas,2,24,0.08333333333333333
me,puedes,2,81,0.024691358024691357
puedes,traer,2,5,0.4
sepa,>,2,3,0.6666666666666666
<,sepa,2,1654,0.0012091898428053204
es,una,2,67,0.029850746268656716
vida,real,2,7,0.2857142857142857
<,eres,2,1654,0.0012091898428053204
dias,>,2,4,0.5
lol,q,2,4,0.5
<,sacaaaaa,2,1654,0.0012091898428053204
<,ontan,2,1654,0.0012091898428053204
q,todos,2,164,0.012195121951219513
y,en,2,57,0.03508771929824561
<,los,2,1654,0.0012091898428053204
ei,>,2,2,1.0
<,ei,2,1654,0.0012091898428053204
xfa,>,2,2,1.0
q,bueno,2,164,0.012195121951219513
mas,>,2,12,0.16666666666666666
ya,",",2,96,0.020833333333333332
