Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
quieres,ya,2,24,0.08333333333333333
no,jajajaj,2,102,0.0196078431372549
que,hicimos,2,200,0.01
y,menos,2,86,0.023255813953488372
el,ejercicio,2,75,0.02666666666666667
es,una,2,71,0.028169014084507043
.,>,2,3,0.6666666666666666
que,decía,2,200,0.01
los,2,2,45,0.044444444444444446
que,vas,2,200,0.01
datos,y,2,7,0.2857142857142857
pues,entonces,2,35,0.05714285714285714
si,yo,2,148,0.013513513513513514
jaja,porque,2,62,0.03225806451612903
la,metieras,2,88,0.022727272727272728
si,ya,2,148,0.013513513513513514
es,solo,2,71,0.028169014084507043
jajaja,por,2,76,0.02631578947368421
metieras,en,2,2,1.0
y,que,2,86,0.023255813953488372
a,lo,2,147,0.013605442176870748
nada,",",2,31,0.06451612903225806
el,model,2,75,0.02666666666666667
con,ernesto,2,32,0.0625
",",según,2,187,0.0106951871657754
",",a,2,187,0.0106951871657754
si,jajaj,2,148,0.013513513513513514
nada,mas,2,31,0.06451612903225806
cuando,llegues,2,3,0.6666666666666666
vava,sip,2,17,0.11764705882352941
<,ajap,2,501,0.003992015968063872
",",ahí,2,187,0.0106951871657754
teníamos,que,2,2,1.0
y,dijo,2,86,0.023255813953488372
<,yo,2,501,0.003992015968063872
<,mira,2,501,0.003992015968063872
6,>,2,2,1.0
web,?,2,3,0.6666666666666666
no,jajaj,2,102,0.0196078431372549
que,teníamos,2,200,0.01
por,eso,2,26,0.07692307692307693
y,le,2,86,0.023255813953488372
los,consejos,2,45,0.044444444444444446
si,este,2,148,0.013513513513513514
este,bien,2,7,0.2857142857142857
bien,jajaja,2,25,0.08
",",en,2,187,0.0106951871657754
lo,pongo,2,115,0.017391304347826087
aún,no,2,5,0.4
sí,>,2,6,0.3333333333333333
va,",",2,21,0.09523809523809523
<,dónde,2,501,0.003992015968063872
dónde,andas,2,6,0.3333333333333333
al,grupo,2,8,0.25
andas,?,2,2,1.0
oye,una,2,66,0.030303030303030304
pero,sin,2,58,0.034482758620689655
mismo,pero,2,3,0.6666666666666666
varios,nodos,2,2,1.0
que,tenemos,2,200,0.01
<,bueno,2,501,0.003992015968063872
que,creo,2,200,0.01
autores,>,2,4,0.5
no,tienes,2,102,0.0196078431372549
que,dejó,2,200,0.01
te,fuiste,2,39,0.05128205128205128
de,esos,2,153,0.013071895424836602
la,práctica,2,88,0.022727272727272728
ntp,>,2,3,0.6666666666666666
maestra,que,2,3,0.6666666666666666
hago,yo,2,2,1.0
oye,entonces,2,66,0.030303030303030304
o,ya,2,22,0.09090909090909091
conclusión,>,2,5,0.4
los,anteriores,2,45,0.044444444444444446
pero,igual,2,58,0.034482758620689655
medio,raro,2,2,1.0
la,mañana,2,88,0.022727272727272728
que,tomar,2,200,0.01
<,ooooo,2,501,0.003992015968063872
pero,lo,2,58,0.034482758620689655
las,3,2,29,0.06896551724137931
3,clases,2,7,0.2857142857142857
entonces,ya,2,24,0.08333333333333333
de,análisis,2,153,0.013071895424836602
jajaj,no,2,26,0.07692307692307693
la,carrera,2,88,0.022727272727272728
ya,la,2,87,0.022988505747126436
la,hago,2,88,0.022727272727272728
fue,?,2,7,0.2857142857142857
<,ajá,2,501,0.003992015968063872
que,tengo,2,200,0.01
ahorita,los,2,19,0.10526315789473684
tienes,que,2,6,0.3333333333333333
y,yo,2,86,0.023255813953488372
<,por,2,501,0.003992015968063872
