Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
|,|,Asi,9,1565,0.005750798722044728
|,Asi,cualkiera,1,9,0.1111111111111111
Asi,cualkiera,|,1,1,1.0
cualkiera,|,|,1,1,1.0
|,Me,dormi,1,31,0.03225806451612903
Me,dormi,|,1,1,1.0
dormi,|,|,1,1,1.0
Pero,ya,desperte,1,4,0.25
ya,desperte,|,1,1,1.0
desperte,|,|,1,1,1.0
|,|,Hajaja,1,1565,0.0006389776357827476
|,Hajaja,|,1,1,1.0
Hajaja,|,|,1,1,1.0
|,|,Q,26,1565,0.016613418530351438
|,Q,soñaste,1,26,0.038461538461538464
Q,soñaste,|,1,1,1.0
soñaste,|,|,1,1,1.0
|,|,Bn,2,1565,0.0012779552715654952
|,Bn,pero,1,2,0.5
Bn,pero,no,1,1,1.0
pero,no,soñe,3,5,0.6
no,soñe,nd,3,4,0.75
soñe,nd,|,4,4,1.0
nd,|,|,7,7,1.0
|,Ya,tus,1,63,0.015873015873015872
Ya,tus,22,1,1,1.0
tus,22,|,1,1,1.0
22,|,|,2,2,1.0
|,|,Akiii,1,1565,0.0006389776357827476
|,Akiii,|,1,1,1.0
Akiii,|,|,1,1,1.0
|,Me,amaban,1,31,0.03225806451612903
Me,amaban,|,1,1,1.0
amaban,|,|,1,1,1.0
|,Q,tonto,1,26,0.038461538461538464
Q,tonto,|,1,1,1.0
tonto,|,|,1,1,1.0
|,Te,perdono,2,11,0.18181818181818182
Te,perdono,|,2,2,1.0
perdono,|,|,2,2,1.0
|,|,Jajajajaj,7,1565,0.0044728434504792336
|,Jajajajaj,|,7,7,1.0
Jajajajaj,|,|,7,7,1.0
|,|,Mira,1,1565,0.0006389776357827476
|,Mira,mira,1,1,1.0
Mira,mira,|,1,1,1.0
mira,|,|,1,1,1.0
|,Es,el,2,38,0.05263157894736842
Es,el,sprayy,1,2,0.5
el,sprayy,|,1,1,1.0
sprayy,|,|,1,1,1.0
|,|,A,29,1565,0.01853035143769968
|,A,siii,2,29,0.06896551724137931
A,siii,|,2,2,1.0
siii,|,|,5,5,1.0
|,Si,vi,1,98,0.01020408163265306
Si,vi,|,1,1,1.0
vi,|,|,4,4,1.0
|,No,me,5,77,0.06493506493506493
No,me,carga,1,5,0.2
me,carga,|,1,1,1.0
carga,|,|,1,1,1.0
|,|,Jajajajja,2,1565,0.0012779552715654952
|,Jajajajja,|,2,2,1.0
Jajajajja,|,|,2,2,1.0
|,|,Sii,15,1565,0.009584664536741214
|,Sii,|,15,15,1.0
Sii,|,|,15,15,1.0
|,|,Quien,4,1565,0.0025559105431309905
|,Quien,essss,1,4,0.25
Quien,essss,|,1,1,1.0
essss,|,|,2,2,1.0
|,|,Sip,12,1565,0.0076677316293929714
|,Sip,|,12,12,1.0
Sip,|,|,12,12,1.0
|,|,Akiora,2,1565,0.0012779552715654952
|,Akiora,?,1,2,0.5
Akiora,?,|,1,1,1.0
|,|,Necesito,1,1565,0.0006389776357827476
|,Necesito,saber,1,1,1.0
Necesito,saber,kien,1,1,1.0
saber,kien,essss,1,1,1.0
kien,essss,|,1,1,1.0
|,A,las,1,29,0.034482758620689655
A,las,9,1,1,1.0
las,9,|,1,1,1.0
9,|,|,1,1,1.0
|,|,Sioke,1,1565,0.0006389776357827476
|,Sioke,|,1,1,1.0
Sioke,|,|,1,1,1.0
|,Pq,queria,1,17,0.058823529411764705
Pq,queria,ver,1,1,1.0
queria,ver,si,1,1,1.0
ver,si,lo,3,3,1.0
si,lo,topaba,1,3,0.3333333333333333
lo,topaba,|,1,1,1.0
topaba,|,|,1,1,1.0
|,Pero,no,14,57,0.24561403508771928
Pero,no,|,1,14,0.07142857142857142
|,|,Desepsionada,1,1565,0.0006389776357827476
|,Desepsionada,|,1,1,1.0
Desepsionada,|,|,1,1,1.0
|,|,Quisieras,1,1565,0.0006389776357827476
|,Quisieras,|,1,1,1.0
Quisieras,|,|,1,1,1.0
|,|,Na,1,1565,0.0006389776357827476
|,Na,|,1,1,1.0
Na,|,|,1,1,1.0
|,Pq,veo,1,17,0.058823529411764705
Pq,veo,mucho,1,1,1.0
veo,mucho,la,1,1,1.0
mucho,la,rosa,1,1,1.0
la,rosa,jajaj,1,1,1.0
rosa,jajaj,|,1,1,1.0
|,|,Silensio,1,1565,0.0006389776357827476
|,Silensio,|,1,1,1.0
Silensio,|,|,1,1,1.0
|,|,X2,13,1565,0.008306709265175719
|,X2,|,13,13,1.0
X2,|,|,13,13,1.0
|,|,Shhh,1,1565,0.0006389776357827476
|,Shhh,22,1,1,1.0
Shhh,22,|,1,1,1.0
|,|,Claro,8,1565,0.005111821086261981
|,Claro,|,5,8,0.625
Claro,|,|,5,5,1.0
|,Pero,apoco,1,57,0.017543859649122806
Pero,apoco,se,1,1,1.0
apoco,se,llama,1,1,1.0
se,llama,olaf,1,3,0.3333333333333333
llama,olaf,?,1,1,1.0
olaf,?,o.o,1,1,1.0
?,o.o,|,2,2,1.0
o.o,|,|,3,3,1.0
|,Y,tu,5,38,0.13157894736842105
Y,tu,23,1,5,0.2
tu,23,jajjajj,1,1,1.0
23,jajjajj,|,1,1,1.0
jajjajj,|,|,1,1,1.0
|,|,En,5,1565,0.003194888178913738
|,En,inclusive,1,5,0.2
En,inclusive,mas,1,1,1.0
inclusive,mas,bn,1,1,1.0
mas,bn,|,1,1,1.0
|,Ya,neni,1,63,0.015873015873015872
Ya,neni,|,1,1,1.0
neni,|,|,6,6,1.0
|,Ya,vengo,1,63,0.015873015873015872
Ya,vengo,tmb,1,1,1.0
vengo,tmb,|,1,1,1.0
|,|,Hasta,2,1565,0.0012779552715654952
|,Hasta,mañana,1,2,0.5
Hasta,mañana,|,1,1,1.0
|,|,Jajaja,15,1565,0.009584664536741214
|,Jajaja,|,11,15,0.7333333333333333
Jajaja,|,|,11,11,1.0
|,|,Kisierasss,1,1565,0.0006389776357827476
|,Kisierasss,|,1,1,1.0
Kisierasss,|,|,1,1,1.0
|,Hasta,eso,1,2,0.5
Hasta,eso,los,1,1,1.0
eso,los,backrooms,1,1,1.0
los,backrooms,si,1,1,1.0
backrooms,si,tenian,1,1,1.0
si,tenian,graficos,1,1,1.0
tenian,graficos,medio,1,1,1.0
graficos,medio,aceptables,1,1,1.0
medio,aceptables,|,1,1,1.0
aceptables,|,|,1,1,1.0
|,|,Toda,1,1565,0.0006389776357827476
|,Toda,asustada,1,1,1.0
Toda,asustada,|,1,1,1.0
asustada,|,|,1,1,1.0
|,|,Eiii,4,1565,0.0025559105431309905
|,Eiii,|,4,4,1.0
Eiii,|,|,4,4,1.0
|,|,TT,2,1565,0.0012779552715654952
|,TT,|,2,2,1.0
TT,|,|,13,13,1.0
|,|,Aaaa,8,1565,0.005111821086261981
|,Aaaa,",",1,8,0.125
Aaaa,",",ojala,1,1,1.0
",",ojala,me,1,1,1.0
ojala,me,hubiera,1,1,1.0
me,hubiera,visto,1,1,1.0
hubiera,visto,",",1,1,1.0
visto,",",bno,1,1,1.0
",",bno,nimo2,1,1,1.0
bno,nimo2,|,1,1,1.0
nimo2,|,|,1,1,1.0
|,Es,ella,1,38,0.02631578947368421
Es,ella,|,1,1,1.0
ella,|,|,2,2,1.0
|,|,Yo,18,1565,0.011501597444089457
|,Yo,kiero,1,18,0.05555555555555555
Yo,kiero,q,1,1,1.0
kiero,q,ya,1,1,1.0
q,ya,termine,1,3,0.3333333333333333
ya,termine,la,1,1,1.0
termine,la,temporada,1,1,1.0
la,temporada,de,1,1,1.0
temporada,de,examenes,1,1,1.0
de,examenes,|,1,1,1.0
|,Yo,te,1,18,0.05555555555555555
Yo,te,vi,1,1,1.0
te,vi,moriiiir,1,1,1.0
vi,moriiiir,|,1,1,1.0
moriiiir,|,|,1,1,1.0
|,Me,enseñas,1,31,0.03225806451612903
Me,enseñas,cuales,1,1,1.0
enseñas,cuales,encuentras,1,1,1.0
cuales,encuentras,|,1,1,1.0
encuentras,|,|,1,1,1.0
|,Jajajaj,oraaaa,1,44,0.022727272727272728
Jajajaj,oraaaa,",",1,1,1.0
oraaaa,",",pq,1,1,1.0
",",pq,dices,1,1,1.0
pq,dices,eso,2,2,1.0
