Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
<,e,we,22,53,0.41509433962264153
>,<,soy,22,12341,0.0017826756340653107
cierto,>,<,22,22,1.0
<,nop,>,22,24,0.9166666666666666
uwu,>,<,22,22,1.0
<,jajajaja,>,21,22,0.9545454545454546
creo,que,si,21,116,0.1810344827586207
plox,>,<,21,21,1.0
tiempo,>,<,21,21,1.0
lo,que,me,21,123,0.17073170731707318
wey,>,<,21,21,1.0
>,<,ese,21,12341,0.0017016449234259785
>,<,vas,21,12341,0.0017016449234259785
>,<,esa,21,12341,0.0017016449234259785
mamá,>,<,21,21,1.0
>,<,cómo,21,12341,0.0017016449234259785
mi,mamá,>,21,87,0.2413793103448276
quieres,jugar,?,21,69,0.30434782608695654
a,que,hora,21,44,0.4772727272727273
estimado,>,<,20,20,1.0
>,<,ahuevo,20,12341,0.0016206142127866462
casa,>,<,20,20,1.0
si,ntp,>,20,24,0.8333333333333334
listo,>,<,20,20,1.0
>,<,chaaale,20,12341,0.0016206142127866462
<,para,que,20,68,0.29411764705882354
>,<,apenas,20,12341,0.0016206142127866462
lo,de,la,20,70,0.2857142857142857
>,<,sis,20,12341,0.0016206142127866462
<,en,el,20,112,0.17857142857142858
que,si,>,20,119,0.16806722689075632
<,sis,>,20,20,1.0
>,<,tas,20,12341,0.0016206142127866462
<,e,men,20,53,0.37735849056603776
<,ufff,>,20,53,0.37735849056603776
<,a,lo,20,264,0.07575757575757576
en,lo,que,20,24,0.8333333333333334
internet,>,<,20,20,1.0
<,bro,>,20,26,0.7692307692307693
sis,>,<,20,20,1.0
jugar,>,<,20,20,1.0
>,<,todo,20,12341,0.0016206142127866462
<,chale,>,20,40,0.5
y,no,se,20,83,0.24096385542168675
mucho,>,<,20,20,1.0
<,nmms,>,20,47,0.425531914893617
mi,estimado,>,20,25,0.8
jajajajaja,>,<,19,19,1.0
chingo,>,<,19,19,1.0
e,we,>,19,22,0.8636363636363636
>,<,osea,19,12341,0.001539583502147314
>,<,verga,19,12341,0.001539583502147314
3,>,<,19,19,1.0
<,tengo,miedo,19,48,0.3958333333333333
no,se,que,19,206,0.09223300970873786
>,<,uffas,19,12341,0.001539583502147314
un,chingo,>,19,44,0.4318181818181818
>,<,.,19,12341,0.001539583502147314
<,y,a,19,991,0.01917255297679112
a,prender,>,19,42,0.4523809523809524
el,juego,>,19,36,0.5277777777777778
creo,que,ya,19,116,0.16379310344827586
<,a,pos,19,264,0.07196969696969698
<,y,la,19,991,0.01917255297679112
ptm,>,<,19,19,1.0
<,gracias,bro,19,88,0.2159090909090909
<,no,creo,19,416,0.04567307692307692
hacer,>,<,18,18,1.0
<,ya,lo,18,583,0.030874785591766724
<,bueno,>,18,115,0.1565217391304348
<,como,que,18,103,0.17475728155339806
yo,digo,que,18,18,1.0
opino,>,<,18,18,1.0
esto,>,<,18,18,1.0
<,chaaale,>,18,20,0.9
chaaale,>,<,18,18,1.0
es,lo,que,18,27,0.6666666666666666
>,<,descansa,18,12341,0.0014585527915079814
<,y,ahora,18,991,0.018163471241170535
verdad,>,<,18,18,1.0
<,si,se,18,547,0.03290676416819013
es,que,no,18,183,0.09836065573770492
<,oye,>,18,74,0.24324324324324326
<,.,>,18,19,0.9473684210526315
>,<,igual,18,12341,0.0014585527915079814
que,no,me,18,132,0.13636363636363635
<,ya,no,18,583,0.030874785591766724
que,no,se,18,132,0.13636363636363635
>,<,f,17,12341,0.0013775220808686492
>,<,cierto,17,12341,0.0013775220808686492
