Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
te,digo,2,40,0.05
yo,creo,2,31,0.06451612903225806
se,yo,2,56,0.03571428571428571
te,parece,2,40,0.05
no,en,2,152,0.013157894736842105
la,primera,2,74,0.02702702702702703
pero,esta,2,71,0.028169014084507043
la,tesis,2,74,0.02702702702702703
me,la,2,81,0.024691358024691357
se,te,2,56,0.03571428571428571
en,lo,2,54,0.037037037037037035
animo,animo,2,14,0.14285714285714285
no,tiene,2,152,0.013157894736842105
te,lo,2,40,0.05
o,si,2,22,0.09090909090909091
mejor,mañana,2,12,0.16666666666666666
q,mañana,2,164,0.012195121951219513
me,gusto,2,81,0.024691358024691357
muy,buena,2,13,0.15384615384615385
q,horror,2,164,0.012195121951219513
fuersa,bro,2,3,0.6666666666666666
ya,ya,2,96,0.020833333333333332
ya,le,2,96,0.020833333333333332
mucho,pero,2,8,0.25
hay,una,2,14,0.14285714285714285
una,churreria,2,16,0.125
es,una,2,67,0.029850746268656716
aca,igual,2,7,0.2857142857142857
no,tanto,2,152,0.013157894736842105
pero,si,2,71,0.028169014084507043
son,como,2,9,0.2222222222222222
ya,te,2,96,0.020833333333333332
yo,tengo,2,31,0.06451612903225806
y,en,2,56,0.03571428571428571
jajajaj,q,2,51,0.0392156862745098
q,bueno,2,164,0.012195121951219513
vida,real,2,7,0.2857142857142857
jajaj,ya,2,16,0.125
una,ai,2,16,0.125
si,jajaj,2,162,0.012345679012345678
se,le,2,56,0.03571428571428571
parecia,a,2,2,1.0
jajajaja,y,2,14,0.14285714285714285
vdd,q,2,14,0.14285714285714285
se,q,2,56,0.03571428571428571
asi,o,2,20,0.1
aaaa,jajajaj,2,8,0.25
anda,di,2,4,0.5
di,k,2,2,1.0
k,si,2,3,0.6666666666666666
no,los,2,152,0.013157894736842105
se,ven,2,56,0.03571428571428571
bueno,a,2,14,0.14285714285714285
si,esta,2,162,0.012345679012345678
dije,q,2,4,0.5
q,luego,2,164,0.012195121951219513
a,ver,2,81,0.024691358024691357
hecho,creo,2,8,0.25
acorde,de,2,3,0.6666666666666666
digo,q,2,5,0.4
q,ella,2,164,0.012195121951219513
jennie,y,2,2,1.0
