Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
la,covarianza,2,84,0.023809523809523808
según,lo,2,11,0.18181818181818182
con,jisus,2,32,0.0625
el,del,2,74,0.02702702702702703
<,en,2,445,0.0044943820224719105
10,>,2,3,0.6666666666666666
holaaa,oye,2,3,0.6666666666666666
de,web,2,150,0.013333333333333334
o,jajajaja,2,21,0.09523809523809523
es,la,2,67,0.029850746268656716
ya,ni,2,87,0.022988505747126436
porfa,>,2,6,0.3333333333333333
me,puedes,2,33,0.06060606060606061
que,con,2,198,0.010101010101010102
te,las,2,38,0.05263157894736842
si,esta,2,146,0.0136986301369863
lo,checo,2,115,0.017391304347826087
y,de,2,85,0.023529411764705882
de,esme,2,150,0.013333333333333334
la,introducción,2,84,0.023809523809523808
la,información,2,84,0.023809523809523808
ahorita,los,2,19,0.10526315789473684
conclusión,>,2,5,0.4
el,archivo,2,74,0.02702702702702703
ya,>,2,87,0.022988505747126436
tenía,que,2,3,0.6666666666666666
no,jajajaj,2,100,0.02
ernesto,que,2,10,0.2
y,dijo,2,85,0.023529411764705882
sip,mañana,2,65,0.03076923076923077
mañana,te,2,15,0.13333333333333333
nada,jaja,2,31,0.06451612903225806
hice,de,2,3,0.6666666666666666
quieres,ver,2,24,0.08333333333333333
si,ahorita,2,146,0.0136986301369863
<,nos,2,445,0.0044943820224719105
salón,>,2,5,0.4
oye,lo,2,65,0.03076923076923077
de,hpc,2,150,0.013333333333333334
dijiste,que,2,3,0.6666666666666666
la,actividad,2,84,0.023809523809523808
foto,de,2,6,0.3333333333333333
jaja,gracias,2,62,0.03225806451612903
ir,mañana,2,8,0.25
bueno,bueno,2,31,0.06451612903225806
jajaja,es,2,76,0.02631578947368421
no,má,2,100,0.02
má,jajaja,2,2,1.0
jajaja,pensé,2,76,0.02631578947368421
las,historias,2,29,0.06896551724137931
es,para,2,67,0.029850746268656716
hoy,>,2,4,0.5
lab,>,2,4,0.5
historias,>,2,3,0.6666666666666666
que,según,2,198,0.010101010101010102
pues,entonces,2,35,0.05714285714285714
si,yo,2,146,0.0136986301369863
después,del,2,4,0.5
no,xd,2,100,0.02
<,dónde,2,445,0.0044943820224719105
dónde,andas,2,6,0.3333333333333333
andas,>,2,2,1.0
web,>,2,3,0.6666666666666666
que,teníamos,2,198,0.010101010101010102
teníamos,que,2,2,1.0
el,model,2,74,0.02702702702702703
según,el,2,11,0.18181818181818182
el,dto,2,74,0.02702702702702703
tienes,que,2,6,0.3333333333333333
hacer,lo,2,11,0.18181818181818182
jajaja,a,2,76,0.02631578947368421
a,hacer,2,146,0.0136986301369863
todo,el,2,8,0.25
lugar,donde,2,3,0.6666666666666666
de,análisis,2,150,0.013333333333333334
análisis,de,2,3,0.6666666666666666
ya,solo,2,87,0.022988505747126436
hicieron,lo,2,3,0.6666666666666666
lo,habías,2,115,0.017391304347826087
la,práctica,2,84,0.023809523809523808
me,dijo,2,33,0.06060606060606061
a,la,2,146,0.0136986301369863
la,escuela,2,84,0.023809523809523808
y,menos,2,85,0.023529411764705882
a,lo,2,146,0.0136986301369863
jajaja,entonces,2,76,0.02631578947368421
en,un,2,47,0.0425531914893617
ya,se,2,87,0.022988505747126436
se,fue,2,39,0.05128205128205128
a,jaja,2,146,0.0136986301369863
rápido,>,2,2,1.0
oye,mañana,2,65,0.03076923076923077
mañana,no,2,15,0.13333333333333333
es,necesario,2,67,0.029850746268656716
no,ando,2,100,0.02
ando,en,2,4,0.5
casa,jaja,2,3,0.6666666666666666
es,de,2,67,0.029850746268656716
mira,>,2,5,0.4
y,le,2,85,0.023529411764705882
ahorita,ya,2,19,0.10526315789473684
y,que,2,85,0.023529411764705882
entonces,no,2,24,0.08333333333333333
si,quieras,2,146,0.0136986301369863
la,hago,2,84,0.023809523809523808
hago,yo,2,2,1.0
<,ooooo,2,445,0.0044943820224719105
quieres,ya,2,24,0.08333333333333333
oye,una,2,65,0.03076923076923077
que,vas,2,198,0.010101010101010102
<,noooo,2,445,0.0044943820224719105
y,en,2,85,0.023529411764705882
información,y,2,5,0.4
y,mira,2,85,0.023529411764705882
ves,>,2,3,0.6666666666666666
el,problema,2,74,0.02702702702702703
jaja,voy,2,62,0.03225806451612903
porque,según,2,28,0.07142857142857142
la,clase,2,84,0.023809523809523808
del,ejercicio,2,32,0.0625
<,ajá,2,445,0.0044943820224719105
pero,lo,2,57,0.03508771929824561
jajaja,pues,2,76,0.02631578947368421
mañana,lo,2,15,0.13333333333333333
con,ernesto,2,32,0.0625
si,ya,2,146,0.0136986301369863
al,grupo,2,8,0.25
que,tenemos,2,198,0.010101010101010102
cuando,llegues,2,3,0.6666666666666666
<,ajap,2,445,0.0044943820224719105
tiempo,>,2,2,1.0
pues,como,2,35,0.05714285714285714
te,fuiste,2,38,0.05263157894736842
ya,la,2,87,0.022988505747126436
jaja,solo,2,62,0.03225806451612903
que,va,2,198,0.010101010101010102
no,jajaj,2,100,0.02
jajajaj,a,2,15,0.13333333333333333
dice,que,2,6,0.3333333333333333
se,va,2,39,0.05128205128205128
que,creo,2,198,0.010101010101010102
pero,según,2,57,0.03508771929824561
es,como,2,67,0.029850746268656716
eso,jajaja,2,26,0.07692307692307693
que,solo,2,198,0.010101010101010102
a,>,2,146,0.0136986301369863
checo,>,2,5,0.4
foto,>,2,6,0.3333333333333333
de,esos,2,150,0.013333333333333334
<,yo,2,445,0.0044943820224719105
sí,>,2,5,0.4
oye,no,2,65,0.03076923076923077
aún,no,2,5,0.4
lo,pongo,2,115,0.017391304347826087
vava,jaja,2,17,0.11764705882352941
<,le,2,445,0.0044943820224719105
a,poner,2,146,0.0136986301369863
poner,en,2,7,0.2857142857142857
bien,jaja,2,25,0.08
le,quieres,2,27,0.07407407407407407
quieres,decir,2,24,0.08333333333333333
ver,qué,2,14,0.14285714285714285
preguntan,>,2,2,1.0
a,oye,2,146,0.0136986301369863
que,yo,2,198,0.010101010101010102
si,podía,2,146,0.0136986301369863
si,>,2,146,0.0136986301369863
para,hacer,2,29,0.06896551724137931
de,mi,2,150,0.013333333333333334
pero,es,2,57,0.03508771929824561
y,es,2,85,0.023529411764705882
nos,falto,2,18,0.1111111111111111
los,resultados,2,44,0.045454545454545456
las,respuestas,2,29,0.06896551724137931
del,tda,2,32,0.0625
para,explicarlo,2,29,0.06896551724137931
autores,>,2,4,0.5
que,tomar,2,198,0.010101010101010102
los,síntomas,2,44,0.045454545454545456
que,puse,2,198,0.010101010101010102
de,eso,2,150,0.013333333333333334
vava,sip,2,17,0.11764705882352941
si,mejor,2,146,0.0136986301369863
mejor,si,2,6,0.3333333333333333
porque,pues,2,28,0.07142857142857142
podría,ser,2,3,0.6666666666666666
mmmm,pues,2,3,0.6666666666666666
la,carrera,2,84,0.023809523809523808
si,jajaj,2,146,0.0136986301369863
que,decía,2,198,0.010101010101010102
jaja,yo,2,62,0.03225806451612903
yo,digo,2,25,0.08
