Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
y,pues,15,1130,0.01327433628318584
Bueno,>,15,90,0.16666666666666666
<,se,15,12342,0.0012153621779290229
mi,papá,15,556,0.02697841726618705
en,directo,15,928,0.016163793103448277
mira,>,15,31,0.4838709677419355
Y,ahora,15,876,0.017123287671232876
esta,bien,15,217,0.06912442396313365
Yo,opino,15,149,0.10067114093959731
<,Feliz,15,12342,0.0012153621779290229
le,puse,15,325,0.046153846153846156
se,lo,15,738,0.02032520325203252
<,Siempre,15,12342,0.0012153621779290229
de,momento,15,1757,0.008537279453614115
voy,hacer,15,245,0.061224489795918366
<,1,15,12342,0.0012153621779290229
<,Ay,15,12342,0.0012153621779290229
<,Descansa,15,12342,0.0012153621779290229
pq,me,15,193,0.07772020725388601
Vas,a,14,17,0.8235294117647058
ya,voy,14,649,0.02157164869029276
<,Osea,14,12342,0.0011343380327337547
<,Cual,14,12342,0.0011343380327337547
veo,en,14,46,0.30434782608695654
Y,se,14,876,0.01598173515981735
Ufff,men,14,49,0.2857142857142857
y,a,14,1130,0.012389380530973451
poco,>,14,53,0.2641509433962264
5,>,14,39,0.358974358974359
Aun,no,14,21,0.6666666666666666
el,internet,14,1410,0.009929078014184398
mal,>,14,45,0.3111111111111111
Ahorita,te,14,87,0.16091954022988506
<,F,14,12342,0.0011343380327337547
F,>,14,16,0.875
me,esta,14,1301,0.010760953112990008
Ahorita,voy,14,87,0.16091954022988506
el,mundo,14,1410,0.009929078014184398
a,dar,14,1574,0.008894536213468869
no,es,14,983,0.014242115971515769
Y,lo,14,876,0.01598173515981735
ahora,si,14,81,0.1728395061728395
y,eso,14,1130,0.012389380530973451
chingo,de,14,49,0.2857142857142857
en,las,14,928,0.015086206896551725
que,yo,14,2087,0.006708193579300431
que,hay,14,2087,0.006708193579300431
Ya,quedo,14,515,0.027184466019417475
Pq,>,14,175,0.08
A,ps,14,230,0.06086956521739131
Ahora,si,14,51,0.27450980392156865
cierto,>,13,20,0.65
<,Esa,13,12342,0.0010533138875384864
jugamos,>,13,25,0.52
Listo,>,13,27,0.48148148148148145
<,Ese,13,12342,0.0010533138875384864
de,hacer,13,1757,0.007398975526465566
<,Cierto,13,12342,0.0010533138875384864
que,sea,13,2087,0.006229036895064686
hay,un,13,103,0.1262135922330097
<,Simón,13,12342,0.0010533138875384864
vez,>,13,76,0.17105263157894737
una,vez,13,341,0.03812316715542522
lo,voy,13,725,0.01793103448275862
paso,>,13,59,0.22033898305084745
muy,bien,13,86,0.1511627906976744
que,va,13,2087,0.006229036895064686
a,decir,13,1574,0.008259212198221092
<,Hay,13,12342,0.0010533138875384864
el,lunes,13,1410,0.009219858156028368
siento,que,13,51,0.2549019607843137
es,muy,13,569,0.022847100175746926
despues,de,13,24,0.5416666666666666
descansa,>,13,23,0.5652173913043478
muchas,gracias,13,15,0.8666666666666667
<,Este,13,12342,0.0010533138875384864
Ya,tengo,13,515,0.02524271844660194
toda,la,13,18,0.7222222222222222
y,de,13,1130,0.011504424778761062
facebook,>,13,20,0.65
